subj,n_trials,converged,NLL,phi,tau,s,T0,F
1501,151,True,63.307957232372885,0.18647323101520133,-1.0999226782416165,0.36735404661252985,5.0,0.29396490802683606
1502,184,False,98.00433823444848,0.02495896099016746,-0.24772418500807789,0.13230788239925134,4.830246510883398,1.0489365559894064
1503,199,True,49.6551257062406,0.3705905267781028,-2.5521094732763796,0.6052993875635774,5.0,0.1683311915713162
1504,120,True,71.03072454545709,0.18378451923885883,-0.8005031314446839,0.6190241836577827,5.0,1.5947547876904848
1505,91,True,13.337828056222857,0.4904715905858376,-3.2165816426650014,0.3460817793531591,5.0,0.2765001240426712
1509,113,True,53.80903320470645,0.3774629254264026,-2.1050512047246603,0.6470372624897494,5.0,0.10203197538996257
1512,145,True,76.46471749051747,0.02519617417164659,-0.08124319508331407,0.20821900753525333,5.0,0.01
1517,96,True,105.2141046445706,0.03487524821353921,-0.34011916511675655,0.2601860097248074,4.8700000000022285,3.5517855133725327
1518,104,True,24.551844344232855,0.22202004331825928,-1.349154370971608,0.2305491187490588,5.0,0.62829622047755
1521,141,True,78.20864247007226,0.025777256487016367,-0.26095664805294727,0.32629335779258706,5.0,3.2048099075117165
1529,161,True,57.38264273504223,0.04086380970646227,-0.3455303868837551,0.1730310232788725,4.9968732640201,1.0643357125437254
1530,191,True,57.16873617407386,0.04332594122461625,-0.7383204586282612,0.3264508273817927,5.0,0.7775866562591691
1532,134,True,75.16871824207885,0.0839653057014914,-0.4875874544608308,0.27637522609208254,5.0,1.8586944813795148
1535,185,True,16.527683240140444,0.01,-0.5498507840130948,0.1770817467876558,5.0,0.01
1536,141,True,83.98078603268092,1.0050621574762055,-4.4005038845202735,1.8418139064583456,5.0,0.01528103952087193
1538,150,False,52.64290993382476,0.0400205127340893,-0.2909921874320323,0.15570401504340822,4.981007066690576,0.26416933500837037
1540,130,True,46.5043759512256,0.08468177653114024,-0.8139922445931499,0.24527831730199334,5.0,1.8897552586823838
1542,136,True,59.793770471109156,0.47497126376891935,-2.100529701928899,0.4808928338905089,5.0,0.23623139665782347
1548,86,True,74.87153827635615,0.12763738491842075,-0.5031215667480077,0.25475694412960637,3.973002408639662,4.159663896782639
1552,121,True,47.434767895137696,0.5382141460507989,-3.07997309976516,0.6193619001249411,5.0,0.4931349019090951
1557,151,False,59.14381916932055,0.03524231502756107,-0.4428553093043213,0.2606467299249438,4.899000628251593,1.7293901617124583
28000,125,True,74.17213252144276,0.14525599546746382,-1.0166226453934089,0.38376275853341835,5.0,1.2239946805321722
28234,97,True,67.5011560752222,0.9306844928680341,-3.9848689859297113,1.2565742834778526,5.0,0.43801591489596226
28308,170,True,34.547036679844496,0.13621616492778624,-1.128330168077026,0.2722651092039621,5.0,1.0317239147640875
28309,104,True,55.07084230890361,0.01,0.04001088055571893,0.1285065213561901,4.874000601932818,6.2572495871856955
28999,19,True,4.5451950086131204e-05,2.0,-3.962612222145519,0.05,2.1631083809971154,0.4527523188250742
29212,183,True,61.194510437072175,0.3317429656907087,-1.9607983858235716,0.464842411596619,5.0,0.16004122621046066
29220,112,False,61.007600775487354,0.16321602877290128,-0.9119356819061512,0.2943576258173095,4.758352477597027,1.0708081621949532
29221,175,True,56.416174002220835,0.20527583042188643,-1.2303941185503071,0.34192106570637243,5.0,0.26810763513244107
29227,111,True,31.513209038647418,0.19155274534960537,-1.1543291932716162,0.2244246734123593,5.0,0.7022521357952667
29230,221,True,48.082364118699,0.3205790071555266,-1.6036559781506265,0.22742926980743666,3.2310003320044056,2.555115488871607
29233,175,True,4.136663197474812,0.7230789051471311,-10.0,0.36440372922268155,5.0,0.05142925855047395
29239,106,True,52.17250809207843,0.36352255536139555,-1.7732698054108307,0.48127986800410993,5.0,0.26888833672437173
29240,107,True,29.45768660448833,0.13090898286269634,-0.6368222245918657,0.12066728232936333,5.0,3.559908582623251
29245,108,True,45.89331401622833,1.064871320706915,-6.245225421151837,0.8733453343446118,5.0,0.9107276215327929
29280,99,True,46.278389275057975,0.2908021474956497,-1.6854432916363398,0.3802569141242104,5.0,0.60712857149423
29281,126,True,49.76012441115224,0.01,-2.7179274749359865,1.2439602758364894,5.0,0.9608079783576565
29303,156,True,72.61127031826918,0.06860540452712968,-0.675909508143268,0.34769218725736223,5.0,0.8786703972429928
29305,145,True,43.93022629801767,0.10353026662635585,-1.2579457303501111,0.37813839154345624,5.0,1.9569375378645002
29306,197,True,17.538996612175676,0.019546304835416608,-0.7116054457283927,0.1987220612936705,5.0,0.7881339487924324
29307,131,True,20.31787420325028,0.5380201702955467,-7.182691102703674,1.4478709174512137,5.0,1.5028947698440203
29310,105,True,76.26983364901275,0.24065837906288406,-1.356438376737128,0.5373060695701788,5.0,1.2683291275360362
29318,129,True,57.93217398669026,0.17881746077562313,-1.0161736368568979,0.3136612750159659,5.0,1.0738903313261479
29326,157,True,64.83721782162203,0.025119016039137486,-2.824730417265863,2.038607936049402,5.0,0.06710771954333394
29328,145,True,37.714672312547975,0.668991816225439,-3.8303691833651823,0.42854323443574177,5.0,0.2731304317949749
