subj,n_test,t0_actr,t0_fear,diff_t0_fear_minus_actr,F_actr,F_fear,diff_F_fear_minus_actr,rt_r_actr_correct_only,rt_n_actr_correct_only,rt_r_fear_correct_only,rt_n_fear_correct_only,c_actr,d_fear,phi_mean_actr,w1_mean_fear,n_facts
1501,125,0.6449317395441835,0.7113851708944667,0.06645343135028325,0.8716829994540877,0.936352728810867,0.06466972935677928,0.46318053313582164,104,0.40712389204722355,104,0.11426413489073871,0.3034330693277128,0.21677625580055765,3.2732395522224897,25
1502,156,0.4229770731611818,0.42558756715777685,0.0026104939965950202,0.7094203326340199,0.6949904252104512,-0.014429907423568755,0.40976962813161205,135,0.3393159285459169,135,0.09009199270800222,0.25124840746678595,0.2324146202280836,2.3918884466354084,25
1503,173,0.528090015226917,0.5205177100186132,-0.0075723052083037645,0.7653330210055579,0.7687014534378702,0.0033684324323123294,0.3982903350872845,160,0.40549985292816065,160,0.0996532785387202,0.16335832402872708,0.22884203586794372,1.5932646194342501,25
1504,102,0.6649433406026677,0.6442585979751506,-0.020684742627517072,0.7843940130609018,0.8171711235097884,0.03277711044888654,0.5673445683079839,64,0.32403117102497053,64,1.147456116862651e-14,0.42254807688296736,0.40921415660421717,2.7023603785402863,17
1505,64,0.5834494641078769,0.5886898541778927,0.005240390070015755,1.0523202569590098,1.9999996134063553,0.9476793564473456,0.5731648506027679,64,0.5208220929851138,64,0.26944404010288786,0.15556679817463764,0.11590904744932472,3.570973393800528,25
1509,86,0.5295012754882762,0.5577436873556895,0.028242411867413275,0.9208696016739328,1.1787627882804805,0.2578931866065477,0.4366541955869933,70,0.5406258158155711,70,0.18477865021322026,0.27196824400220354,0.17285548555238986,3.165462366014394,22
1512,120,0.6076385555467135,0.6087496510389873,0.0011110954922737282,0.5654738554831374,0.5862966823936866,0.020822826910549153,0.42389537746105704,68,0.4432484095386041,68,9.241229906890495e-17,0.41727377792712167,0.3844245108886782,1.7210292861513254,25
1517,75,0.3138486988834919,0.541299720903343,0.22745102201985112,1.9999995856509,1.9999995594870288,-2.6163871291728924e-08,0.5300519429183251,66,0.5334660635655813,66,0.37145578005386193,0.3325646813953187,0.2614170472158765,5.1221625695196975,10
1518,74,0.48948300724798616,0.5082591538615285,0.018776146613542377,0.8783556262619829,1.9999995849531211,1.1216439586911382,0.4423769951240977,73,0.474033841792567,73,0.13005540329820625,0.15195406059426356,0.1316257738189773,3.9393187251718764,25
1521,112,0.359742465711304,0.36805772088294375,0.008315255171639724,0.7430039030572144,0.8632828076432063,0.12027890458599189,0.3634796436494671,79,0.13655575764234956,79,0.076007574767161,0.32367512247921065,0.2618549630624717,2.644532810311459,25
1529,136,0.6853991996700491,0.6833781640839459,-0.002021035586103226,0.8269622090435789,0.959667397387859,0.13270518834428013,0.43308861015007977,116,0.4277494778233349,116,0.03557631566788355,0.22162757523453555,0.21406190073375803,2.9100694765634723,25
1530,163,0.666439946748856,0.6833028158771758,0.016862869128319802,0.543915199422533,0.5655138620681978,0.02159866264566479,0.5402487968788945,150,0.5290443467806278,150,0.32304476433017004,0.19347243319646856,0.12516578994483532,2.373814400421235,25
1532,113,0.769087844319584,0.7861868119585443,0.01709896763896035,0.902299556670585,1.0601000067873145,0.1578004501167295,0.43865545089314995,89,0.3794550832287883,89,0.22020552650717967,0.3526906126983591,0.22682041385915536,4.686362298153486,20
1535,159,0.7677800779323506,0.7636471553397101,-0.004132922592640531,0.5414333390896982,0.7854416610131596,0.24400832192346145,0.44609911818832176,156,0.41054551794005567,156,5.257964728167952e-07,5.363445591235809e-07,0.13402588727339595,2.4982541255925,25
1536,121,0.4685030830820306,0.4456715674556999,-0.02283151562633068,0.6256945260497138,0.7941712984260304,0.16847677237631664,0.3791519446156126,68,0.4220253528059062,68,0.29383501971370574,0.4700234593025875,0.32069723315602316,3.2180439319838,18
1540,99,0.523581715960425,0.5865050085919459,0.06292329263152086,1.1217117901862395,1.3867235130913598,0.2650117229051203,0.5414245771531049,94,0.5370567805637486,94,0.022932998977269223,0.11367126710879259,0.17486041793097817,2.081103496932921,25
1542,109,0.5285228129148642,0.5390708613642703,0.010548048449406044,0.8457256233335194,0.9473819589086869,0.10165633557516751,0.5089051634567023,82,0.39458618263599526,82,0.19617231585204964,0.351161531745232,0.23305068926540026,2.844145842974242,25
1552,91,0.8096767158847088,0.8304007418923823,0.020724026007673535,0.5849959574107391,0.9106409692259124,0.32564501181517336,0.5115649235064972,81,0.450626739810357,81,0.20103666150003136,0.22974912761495292,0.1325453513664631,4.157571979454832,25
1557,124,0.556316804062962,0.737116546862624,0.18079974279966193,0.9538348777089638,0.9039093840037842,-0.049925493705179624,0.3183085236728012,105,0.35438086654843914,105,0.07421507483568872,0.2951679431450303,0.24837575071390622,2.8729386455842736,25
29212,158,0.5389216374330253,0.547751829548238,0.008830192115212632,0.7023132622937955,0.6557966627138047,-0.04651659957999088,0.3877721152254159,137,0.4106452942333864,137,0.17124856534342012,0.2833483708041902,0.21902755569778595,2.444792743905706,25
29220,83,0.6117924128904402,0.6192312748144201,0.007438861923979911,0.8086862609555959,1.06398411843443,0.25529785747883416,0.609809750958576,69,0.5420706980146448,69,0.2781310954528412,0.2652986312342858,0.1614862959021059,2.724883313395536,25
29221,149,0.48340338762847146,0.49084688062141174,0.0074434929929402815,0.9004614901126334,0.9610218322002986,0.06056034208766514,0.44532378127601097,131,0.33484696872196845,131,0.20111860156601644,0.20659598184940733,0.16537421306249894,2.4087448887810003,25
29227,85,0.7203590219559838,0.7587429397301942,0.03838391777421046,1.237994140944724,1.664526486013071,0.42653234506834714,0.5518784187403806,81,0.5172233832936413,81,0.18845070729834432,0.18846302713997676,0.10362537030851449,3.6821063994593914,23
29230,194,0.4915573184918563,0.46239834667163027,-0.029158971820226032,0.6793429136479809,0.6631522090493445,-0.016190704598636474,0.37080102494100703,180,0.36933425205736786,180,0.1766958171790188,0.20489861473447452,0.18207328339103795,2.288664275570746,25
29245,73,0.6323391222876033,0.647284384258053,0.014945261970449764,0.933056230967673,1.9412848827607496,1.0082286517930767,0.5189039913664366,72,0.6038908956293523,72,0.2203718632029903,0.1079794940063967,0.0806887437902265,3.5439382629815928,25
29280,73,0.9999993909981961,0.9999993911964518,1.9825563413178315e-10,1.0436596368199347,1.701777314225968,0.6581176774060333,0.6191000163341915,68,0.4850501698500668,68,0.08056392910829584,0.10960526522497321,0.12812250021924068,3.0083223446232914,20
29281,96,0.9999993912254718,0.9999993912254718,0.0,0.7471739713036891,1.2325505977372104,0.4853766264335213,0.3154387579679331,91,0.3289698710161764,91,0.058457732891421726,0.02762996914766832,0.12964957419364836,2.212486986441079,25
29303,127,0.48042657567939157,0.47697983943033,-0.003446736249061555,0.8785692687441343,0.939520655119289,0.060951386375154626,0.47800150826486926,109,0.30441762376978937,109,0.02040302979266068,0.16432598990933228,0.22501118960846328,1.7337008394060516,25
29305,115,0.809208156933105,0.8098572092303826,0.0006490522972776303,0.699511687152588,0.8476723207819405,0.1481606336293525,0.44114778161517176,109,0.3706835498819969,109,0.11493120446084756,0.06798468308335752,0.13260285605079544,1.8675600036635693,25
29306,172,0.5627819402239808,0.595630874548391,0.03284893432441027,0.8270902483173967,1.1268897156567268,0.29979946733933005,0.3922042984023333,169,0.33659660845538797,169,0.21030038588618905,0.04040458850168661,0.11830665224539408,1.7917364141637626,25
29307,104,0.8277686962819198,0.8299344641957144,0.002165767913794525,0.9018939458721879,1.391998000680735,0.49010405480854724,0.46871771706419835,102,0.47941529939912636,102,0.21582649673932933,0.053440690320525036,0.10095905865378718,2.0906625104684022,25
29310,75,0.5137031492697142,0.5564395764625547,0.04273642719284054,1.033781777771576,1.1916984707537137,0.15791669298213762,0.5624401232946706,60,0.4174913909520207,60,1.6546313042744398e-13,0.2870875715318145,0.31608224262395906,3.9681160576584085,19
29318,101,0.8973427532761977,0.9578190561291758,0.060476302852978114,0.883891356022154,0.9935672842526525,0.10967592823049854,0.32955722092820655,88,0.25939623763778036,88,0.29979588036226773,0.3003708785089821,0.19020076986317905,4.13781226883468,24
29326,132,0.6637145250725055,0.7026391754607282,0.03892465038822268,0.7727115247352864,0.7299704294428595,-0.04274109529242687,0.3283310956016067,106,0.30152484332667023,106,5.500886535595526e-07,0.29172678833584736,0.268557218486873,2.6343853296825523,25
29328,115,0.6921500601670288,0.6994425052403959,0.007292445073367015,0.8780280257393346,1.1780889717203367,0.3000609459810021,0.450406906567376,112,0.4764452827648144,112,0.3968243820904318,0.1510743604975166,0.07473015947337441,2.6849805969630207,25
